D_SMILES,D_name,A_SMILES,A_name,Jsc(mAcm-2),Voc(V),FF(%),PCE(%),DOI,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC(F)=C(S%10)CC(CC)CCCC)S1,PM6,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3C(=O)C4=CC5=CC(F)=C(F)C=C5C=C4C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(F)C(OC)=C(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=CC7=CC(F)=C(F)C=C7C=C6C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C(F)=C1OC)S2,HFOCPCIC ,12.62,0.93,0.71,8.36,https://doi.org/10.1039/C8TA03753A,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)C#N)C2=C/C3=CC=C(C4=CC5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(C%11=CC=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)/C#N)=O)[Se]%11)S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4)[Se]3,2Se-4F,21.49,0.79,0.66,11.19,https://doi.org/10.1039/C8TA00783G,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,O=C(N(CC)/C(S/1)=C(C#N)C#N)C1=C/C2=CN=C(C3=CC4=C(C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C=C(C8=C9C=C(C%10=NC=C(/C=C%11C(N(CC)/C(S\%11)=C(C#N)C#N)=O)S%10)S8)C(C9(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C5)S3)S2,IDTzCR1:1,13.8,1.04,0.61,8.71,https://doi.org/10.1039/C7TC04669C,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)CC3)C3=CC4=C(C=C3C3=C2C=C(C2=CC=C(/C=C5/SC(=C(C#N)C#N)N(CC)C5=O)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC=C(/C=C4/SC(=C(C#N)C#N)N(C)C4=O)S3)=C2)C=C1,IDTCR,11.01,1.11,0.5,6.1,https://doi.org/10.1039/C7TC04669C,,,,,,,,,,,
[*]C1=CC2=C(C3=CC=C([Si](CCC)(CCC)CCC)S3)C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([*])S6)C7=NN(CC(CCCCCCCC)CCCCCC)N=C75)S4)=C8)=C8C(C9=CC=C([Si](CCC)(CCC)CCC)S9)=C2S1,J71,O=C(C1=C(C)SC=C1C/2=C(C#N)C#N)C2=CC3=CC4=C(S3)C5=C(C6=CC(C7(C8=CC=CC(CCCCCC)=C8)C9=CC(CCCCCC)=CC=C9)=C(C%10=C7C(SC(/C=C%11C(C%12=C(C)SC=C%12C/%11=CC#N)=O)=C%13)=C%13S%10)C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=CC(CCCCCC)=C%15)S4,m-MeIC,18.45,0.92,0.69,12.08,https://doi.org/10.1039/C7TA11339K,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,O=C(C1=C(C)SC=C1C/2=C(C#N)C#N)C2=CC3=CC4=C(S3)C5=C(C6=CC(C7(C8=CC=CC(CCCCCC)=C8)C9=CC(CCCCCC)=CC=C9)=C(C%10=C7C(SC(/C=C%11C(C%12=C(C)SC=C%12C/%11=CC#N)=O)=C%13)=C%13S%10)C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=CC(CCCCCC)=C%15)S4,m-MeIC,18.16,0.84,0.7,10.93,https://doi.org/10.1039/C7TA11339K,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,O=C(C1=C(C)SC=C1C/2=C(C#N)C#N)C2=CC3=CC4=C(S3)C5=C(C6=CC(C7(C8=CC=CC(CCCCCC)=C8)C9=CC(CCCCCC)=CC=C9)=C(C%10=C7C(SC(/C=C%11C(C%12=C(C)SC=C%12C/%11=CC#N)=O)=C%13)=C%13S%10)C=C6C5(C%14=CC(CCCCCC)=CC=C%14)C%15=CC=CC(CCCCCC)=C%15)S4,m-MeIC,16.52,0.8,0.62,8.34,https://doi.org/10.1039/C7TA11339K,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=CC6=C(C=C5C4(C7=CC=C(OCCCCCCCC)C=C7)C8=CC=C(OCCCCCCCC)C=C8)C9=CC%10=C(C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)C#N)=O)=C%13)=C%13C%10(C%14=CC=C(OCCCCCCCC)C=C%14)C%15=CC=C(OCCCCCCCC)C=C%15)C=C9N6CCCCCCCC,DTCC-IC,11.23,0.95,0.56,6,https://doi.org/10.1039/C7TA01143A,,,,,,,,,,,
[*]C1=CC2=C(C3=CC=C([Si](CCC)(CCC)CCC)S3)C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([*])S6)C7=NN(CC(CCCCCCCC)CCCCCC)N=C75)S4)=C8)=C8C(C9=CC=C([Si](CCC)(CCC)CCC)S9)=C2S1,J71,O=C(C(C=CC=C1)=C1C/2=C(C#N)C#N)C2=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=CC9=C(C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C%13SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%12)=C%13S9)C=C8S5,BT-IC,17.75,0.9,0.66,10.5,https://doi.org/10.1039/C7EE00844A,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(SCCCCCCCCCCCC)S3)=C4C(SC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C([*])S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C68)S5)=C4)=C2C9=CC=C(SCCCCCCCCCCCC)S9)S1,J61,CCCCCCC(CCCC)CC1=C(C2=CC=C3C(=C2)N(CC(CCCC)CCCCCC)C(=O)/C3=C2/C(=O)N(CC(CCCC)CCCCCC)C3=C2C=CC(C2=C(CC(CCCC)CCCCCC)C=C(/C=C4C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S2)=C3)SC(/C=C2C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)=C1,IID-IC,6.36,0.83,0.53,2.82,https://doi.org/10.1039/C7CC08497H,,,,,,,,,,,
CC1=CC(N2CCCCCCCC)=C(C3=C2C=C(C4=CC=C(C5C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C3)C=C1,PCDTBT-C12,CCCCN1C(=O)C2=CC=CC3=C2C(=CC=C3C#CC2=CC=C3C(=O)N(CCCC)C(=O)C4=CC=CC2=C43)C1=O,NI-A-C4,1.34,1.09,0.1,0.11,https://doi.org/10.1039/C6TC01438K,,,,,,,,,,,
